message,compound,neg,neu,pos
"Are you available ?
No calls text only 9513072XXX",0.0,0.0,1.0,0.0
"Are you available ?
No calls text only 9513072XXX",-0.296,0.355,0.645,0.0
I'm in a meeting and need help getting some Amazon Gift Cards,0.743,0.0,0.523,0.477
"Hello RECIPIENT

I am urgently seeking for a Clerical/Administrative Assistant to 
work for me on campus at their own free time while I am away on my work and 
earn basic wage $250 weekly.This is a flexible job that requires little to 
no prior experience .Let me know you are interested and I will fill you in.",0.7165,0.033,0.83,0.137
Are you around? I need to pay a vendor with the blucard.,0.0,0.0,1.0,0.0
Are you around? I need to pay a vendor with the blucard.,-0.1027,0.189,0.811,0.0
I'm in a meeting and need help getting some Amazon Gift Cards,0.743,0.0,0.523,0.477
XXX has invited you to view the following document:,0.0,0.0,1.0,0.0
"Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!",0.3818,0.0,0.86,0.14
"Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!",0.0,0.0,1.0,0.0
"Dear XXXXX@berkeley.edu(link sends e-mail)

An information document has been sent to you by the Human Resources Department.

Click here to Login to view the document.  Thank you!",0.4199,0.0,0.264,0.736
"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",0.3818,0.0,0.833,0.167
"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",0.0,0.0,1.0,0.0
"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",0.0,0.0,1.0,0.0
"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",0.5859,0.0,0.787,0.213
"Dear Student,

Your access to your library account is expiring soon due to inactivity. To
continue to have access to the library services, you must reactivate your
account. For this purpose, click the web address below or copy and paste it
into your web browser. A successful login will activate your account and
you will be redirected to your library profile.

https://auth.berkeley.edu/cas/login?service=https%3a%2f%


If you are not able to login, please contact <Name Removed> at
xxxxx@berkeley.edu (link sends e-mail) for immediate assistance.",0.3182,0.0,0.892,0.108
"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",0.296,0.0,0.784,0.216
"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",0.3182,0.0,0.777,0.223
"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",0.7777,0.0,0.688,0.312
"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",0.0,0.0,1.0,0.0
"Hello,
 
You just received a file through Dropbox Share Application.
Please click below and log in to view file.
 
View file
 
Every time a friend installs Dropbox, we'll give both of you 1 GB of
space for free! Need even more space? Upgrade your Dropbox and get 1 TB
(1,000 GB) of space",0.0,0.0,1.0,0.0
"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",0.3818,0.0,0.852,0.148
"Dear User,

This message is to inform you that your access to bCourses will soon expire. You will have to login to your account to continue to have access to this service.
You need to reactivate it just by logging in through the following URL. A successful login will activate your account and you will be redirected to your bCourses page.

http:/bcourses.berkeley.edu/login_0DZvfIrGID322o0ki22F0IZotK3lPfYHa62pNgFo4Oh4B40FO4WFMbL4BeL22BMCB8yNmkrd1qJSMjMmbphO9TsF3jX2LqgZijDXGuwEM8fb8yNE7xdTJSMBNYpD4cemhm/

If you are not able to login, please contact Danielle Patel at dapatel@berkeley.edu(link sends e-mail) for immediate assistance.",0.0,0.0,1.0,0.0
